"Player","Team","Positions","IP","K","SV","BS","HD","ERA","WHIP","ER","H","BB","HR","G","W","L","Own"
"Zac Rosscup","SEA","RP","27.3","37","0","0","2","3.86","1.23","12","23","11","4","30","1","1","0%"
"Luis Cessa","NYY","SP,RP","55.9","47","0","0","2","4.65","1.36","29","58","18","9","23","3","3","0%"
"Ian Gibaut","TB","RP","33.3","36","0","0","2","3.85","1.35","14","29","16","4","31","2","2","0%"
"Roenis Elias","SEA","RP","57.8","46","0","0","2","4.34","1.44","28","60","23","8","42","3","4","0%"
"Jimmy Herget","CIN","RP","43.2","45","0","0","2","4.25","1.38","20","41","19","8","39","2","2","0%"
"Wander Suero","WSH","SP,RP","38.6","37","0","0","2","4.10","1.36","18","39","14","4","32","2","2","0%"
"Wilmer Font","TB","SP,RP","47.9","47","0","0","2","4.78","1.36","25","49","17","9","35","2","3","0%"
"Adam Plutko","CLE","SP,RP","56.6","47","0","0","2","4.95","1.34","31","58","18","10","28","3","3","0%"
"Taylor Cole","LAA","RP","48.4","48","0","0","2","4.41","1.40","24","47","21","7","40","2","3","0%"
"Trey Supak","MIL","SP,RP","55.7","48","0","0","2","4.48","1.45","28","56","25","9","23","3","3","0%"
"Stephen Tarpley","NYY","RP","32.3","30","0","0","2","3.89","1.43","14","30","16","3","29","2","2","0%"
"Hector Santiago","NYM","SP,RP","59.6","57","0","0","2","4.71","1.46","31","56","31","10","25","3","4","0%"
"Carson Smith","BOS","RP","15.8","18","1","0","2","3.44","1.27","6","14","6","2","19","1","1","0%"
"Cody Anderson","CLE","SP,RP","39.3","32","0","0","2","4.51","1.35","20","41","12","6","20","2","2","0%"
"Santiago Casilla","","RP","36.7","32","1","0","2","4.31","1.41","18","34","18","5","33","2","2","0%"
"Randall Delgado","CWS","RP","44.3","38","0","0","2","4.48","1.38","22","44","17","7","44","2","2","0%"
"Nick Rumbelow","SEA","RP","36.9","36","0","0","2","4.48","1.30","18","35","13","4","24","1","1","0%"
"Joaquin Benoit","","RP","37.7","34","0","0","2","4.47","1.38","19","35","17","6","38","2","2","0%"
"Ricardo Rodriguez","TEX","RP","35.6","30","0","0","2","4.52","1.35","18","38","11","6","27","2","2","0%"
